login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
cferdinandi,cferdinandi/academy-expert-database,2022-10-13T21:11:52Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/academy-expert-edit-api,2022-12-08T17:18:02Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/academy-expert-edit-api-template,2022-12-08T17:14:50Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/academy-expert-edit-ui,2022-12-22T19:59:11Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/academy-expert-edit-ui-template,2023-01-05T02:44:56Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/academy-expert-hosted-api,2022-10-12T16:48:57Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/academy-expert-login,2022-10-18T20:02:13Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/academy-expert-login-template,2022-10-18T19:38:07Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/academy-expert-remove-from-cart,2022-10-11T20:41:42Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/academy-expert-save-login-state,2022-10-26T18:28:20Z,1,1,JavaScript,True,True,
cferdinandi,cferdinandi/academy-expert-save-login-state-template,2022-10-18T22:15:15Z,1,1,HTML,True,True,
cferdinandi,cferdinandi/academy-expert-security,2022-10-17T17:14:28Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/academy-expert-structure,2022-10-04T20:00:22Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/academy-expert-view-cart,2022-10-11T19:44:47Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/academy-expert-view-cart-template,2022-10-08T02:58:07Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/academy-places-bundle-completed,2022-01-18T20:14:20Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/academy-places-bundle-template,2022-01-18T18:51:09Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/academy-places-es-modules-completed,2022-01-18T15:15:41Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/academy-places-es-modules-template,2022-01-18T14:57:38Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/accessible-components-source-code,2022-03-04T20:43:15Z,3,3,HTML,True,True,
cferdinandi,cferdinandi/advanced-academy-bundling-multiple-files,2022-06-21T20:47:42Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/advanced-academy-common-issue-no-default-export,2022-06-23T20:24:14Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/advanced-academy-common-issue-not-modularizing-your-code-enough,2022-06-23T20:31:52Z,3,3,JavaScript,True,True,
cferdinandi,cferdinandi/advanced-academy-seven-seas-advanced-cache-completed,2022-06-22T16:19:54Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/advanced-academy-seven-seas-advanced-cache-template,2022-06-22T15:48:29Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/advanced-academy-seven-seas-bundle,2022-06-21T20:20:13Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/advanced-academy-seven-seas-cache-strategy,2022-06-22T14:33:30Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/advanced-academy-seven-seas-es-modules,2022-06-21T18:44:48Z,2,2,JavaScript,True,True,
cferdinandi,cferdinandi/advanced-academy-seven-seas-page-specific-bundles,2022-06-21T20:53:28Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/advanced-academy-seven-seas-service-worker,2022-06-22T03:21:52Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/adventure,2020-01-15T22:08:21Z,8,8,CSS,True,True,
cferdinandi,cferdinandi/ajax-source-code,2017-04-19T19:18:40Z,3,3,HTML,True,True,
cferdinandi,cferdinandi/alerts,2013-05-19T00:24:36Z,14,14,JavaScript,True,True,mit
cferdinandi,cferdinandi/apis-source-code,2018-11-02T19:57:46Z,11,11,HTML,True,True,
cferdinandi,cferdinandi/arrays-objects-source-code,2019-05-21T19:29:25Z,4,4,HTML,True,True,
cferdinandi,cferdinandi/astro,2013-01-31T21:52:34Z,54,54,JavaScript,True,True,mit
cferdinandi,cferdinandi/atomic,2014-03-30T14:32:43Z,540,540,HTML,True,True,mit
cferdinandi,cferdinandi/bin,2018-10-23T14:47:22Z,85,85,JavaScript,True,True,mit
cferdinandi,cferdinandi/bouncer,2018-11-09T15:25:31Z,309,309,JavaScript,True,True,mit
